Rule;Confidence
-Accommodation(X) AND -Hotel(X) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -Hotel(X) ==> -Accommodation(X);1.0
-LuxuryHotel(X) AND -Accommodation(X) ==> -Hotel(X);1.0
-Accommodation(X) AND -hasAccommodation(Y, X) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasAccommodation(Y, X) ==> -Accommodation(X);1.0
-LuxuryHotel(X) AND -Accommodation(X) ==> -hasAccommodation(Y, X);1.0
-Accommodation(X) AND -hasRating(X, Y) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasRating(X, Y) ==> -Accommodation(X);1.0
-LuxuryHotel(X) AND -Accommodation(X) ==> -hasRating(X, Y);1.0
-Hotel(X) AND -hasAccommodation(Y, X) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasAccommodation(Y, X) ==> -Hotel(X);1.0
-LuxuryHotel(X) AND -Hotel(X) ==> -hasAccommodation(Y, X);1.0
-Hotel(X) AND -hasRating(X, Y) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasRating(X, Y) ==> -Hotel(X);1.0
-LuxuryHotel(X) AND -Hotel(X) ==> -hasRating(X, Y);1.0
-hasAccommodation(Y, X) AND -hasRating(X, Y) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasRating(X, Y) ==> -hasAccommodation(Y, X);1.0
-LuxuryHotel(X) AND -hasAccommodation(Y, X) ==> -hasRating(X, Y);1.0
-Hotel(X) AND -hasAccommodation(Y, X) ==> -Accommodation(X);1.0
-Accommodation(X) AND -hasAccommodation(Y, X) ==> -Hotel(X);1.0
-Accommodation(X) AND -Hotel(X) ==> -hasAccommodation(Y, X);1.0
-Hotel(X) AND -hasRating(X, Y) ==> -Accommodation(X);1.0
-Accommodation(X) AND -hasRating(X, Y) ==> -Hotel(X);1.0
-Accommodation(X) AND -Hotel(X) ==> -hasRating(X, Y);1.0
-hasAccommodation(Y, X) AND -hasRating(X, Y) ==> -Accommodation(X);1.0
-Accommodation(X) AND -hasRating(X, Y) ==> -hasAccommodation(Y, X);1.0
-Accommodation(X) AND -hasAccommodation(Y, X) ==> -hasRating(X, Y);1.0
-hasAccommodation(Y, X) AND -hasRating(X, Y) ==> -Hotel(X);1.0
-Hotel(X) AND -hasRating(X, Y) ==> -hasAccommodation(Y, X);1.0
-Hotel(X) AND -hasAccommodation(Y, X) ==> -hasRating(X, Y);1.0
-Town(X) AND -Accommodation(X) ==> -LuxuryHotel(X);1.0
-Town(X) AND -LuxuryHotel(X) ==> -Accommodation(X);1.0
-Town(X) AND -Hotel(X) ==> -LuxuryHotel(X);1.0
-Town(X) AND -LuxuryHotel(X) ==> -Hotel(X);1.0
-Town(X) AND -hasAccommodation(Y, X) ==> -LuxuryHotel(X);1.0
-Town(X) AND -LuxuryHotel(X) ==> -hasAccommodation(Y, X);1.0
-Town(X) AND -hasRating(X, Y) ==> -LuxuryHotel(X);1.0
-Town(X) AND -LuxuryHotel(X) ==> -hasRating(X, Y);1.0
-Town(X) AND -Hotel(X) ==> -Accommodation(X);1.0
-Town(X) AND -Accommodation(X) ==> -Hotel(X);1.0
-Town(X) AND -hasAccommodation(Y, X) ==> -Accommodation(X);1.0
-Town(X) AND -Accommodation(X) ==> -hasAccommodation(Y, X);1.0
-Town(X) AND -hasRating(X, Y) ==> -Accommodation(X);1.0
-Town(X) AND -Accommodation(X) ==> -hasRating(X, Y);1.0
-Town(X) AND -hasAccommodation(Y, X) ==> -Hotel(X);1.0
-Town(X) AND -Hotel(X) ==> -hasAccommodation(Y, X);1.0
-Town(X) AND -hasRating(X, Y) ==> -Hotel(X);1.0
-Town(X) AND -Hotel(X) ==> -hasRating(X, Y);1.0
-Town(X) AND -hasPart(X, Y) ==> -hasAccommodation(X, Y);1.0
-Town(X) AND -hasAccommodation(X, Y) ==> -hasPart(X, Y);1.0
-Town(X) AND -hasRating(X, Y) ==> -hasAccommodation(Y, X);1.0
-Town(X) AND -hasAccommodation(Y, X) ==> -hasRating(X, Y);1.0
-Accommodation(X) AND -hasAccommodation(X, Y) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasAccommodation(X, Y) ==> -Accommodation(X);1.0
-Accommodation(X) AND -hasPart(X, Y) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasPart(X, Y) ==> -Accommodation(X);1.0
-Accommodation(X) AND -hasRating(Y, X) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasRating(Y, X) ==> -Accommodation(X);1.0
-Hotel(X) AND -hasAccommodation(X, Y) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasAccommodation(X, Y) ==> -Hotel(X);1.0
-Hotel(X) AND -hasPart(X, Y) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasPart(X, Y) ==> -Hotel(X);1.0
-Hotel(X) AND -hasRating(Y, X) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasRating(Y, X) ==> -Hotel(X);1.0
-hasAccommodation(X, Y) AND -hasAccommodation(Y, X) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasAccommodation(X, Y) ==> -hasAccommodation(Y, X);1.0
-LuxuryHotel(X) AND -hasPart(X, Y) ==> -hasAccommodation(X, Y);1.0
-LuxuryHotel(X) AND -hasAccommodation(X, Y) ==> -hasPart(X, Y);1.0
-hasAccommodation(X, Y) AND -hasRating(X, Y) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasAccommodation(X, Y) ==> -hasRating(X, Y);1.0
-hasAccommodation(Y, X) AND -hasPart(X, Y) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasPart(X, Y) ==> -hasAccommodation(Y, X);1.0
-hasAccommodation(Y, X) AND -hasRating(Y, X) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasRating(Y, X) ==> -hasAccommodation(Y, X);1.0
-hasPart(X, Y) AND -hasRating(X, Y) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasPart(X, Y) ==> -hasRating(X, Y);1.0
-hasRating(X, Y) AND -hasRating(Y, X) ==> -LuxuryHotel(X);1.0
-LuxuryHotel(X) AND -hasRating(Y, X) ==> -hasRating(X, Y);1.0
-RetireeDestination(X) AND -hasAccommodation(X, Y) ==> -Capital(X);1.0
-Capital(X) AND -hasAccommodation(X, Y) ==> -RetireeDestination(X);1.0
-Capital(X) AND -RetireeDestination(X) ==> -hasAccommodation(X, Y);1.0
-RetireeDestination(X) AND -hasPart(X, Y) ==> -Capital(X);1.0
-Capital(X) AND -hasPart(X, Y) ==> -RetireeDestination(X);1.0
-Capital(X) AND -RetireeDestination(X) ==> -hasPart(X, Y);1.0
-Capital(X) AND -hasPart(X, Y) ==> -hasAccommodation(X, Y);1.0
-Capital(X) AND -hasAccommodation(X, Y) ==> -hasPart(X, Y);1.0
-Hotel(X) AND -hasAccommodation(X, Y) ==> -Accommodation(X);1.0
-Accommodation(X) AND -hasAccommodation(X, Y) ==> -Hotel(X);1.0
-Hotel(X) AND -hasPart(X, Y) ==> -Accommodation(X);1.0
-Accommodation(X) AND -hasPart(X, Y) ==> -Hotel(X);1.0
-Hotel(X) AND -hasRating(Y, X) ==> -Accommodation(X);1.0
-Accommodation(X) AND -hasRating(Y, X) ==> -Hotel(X);1.0
-hasAccommodation(X, Y) AND -hasAccommodation(Y, X) ==> -Accommodation(X);1.0
-Accommodation(X) AND -hasAccommodation(X, Y) ==> -hasAccommodation(Y, X);1.0
-Accommodation(X) AND -hasPart(X, Y) ==> -hasAccommodation(X, Y);1.0
-Accommodation(X) AND -hasAccommodation(X, Y) ==> -hasPart(X, Y);1.0
-hasAccommodation(X, Y) AND -hasRating(X, Y) ==> -Accommodation(X);1.0
-Accommodation(X) AND -hasAccommodation(X, Y) ==> -hasRating(X, Y);1.0
-hasAccommodation(Y, X) AND -hasPart(X, Y) ==> -Accommodation(X);1.0
-Accommodation(X) AND -hasPart(X, Y) ==> -hasAccommodation(Y, X);1.0
-hasAccommodation(Y, X) AND -hasRating(Y, X) ==> -Accommodation(X);1.0
-Accommodation(X) AND -hasRating(Y, X) ==> -hasAccommodation(Y, X);1.0
-hasPart(X, Y) AND -hasRating(X, Y) ==> -Accommodation(X);1.0
-Accommodation(X) AND -hasPart(X, Y) ==> -hasRating(X, Y);1.0
-hasRating(X, Y) AND -hasRating(Y, X) ==> -Accommodation(X);1.0
-Accommodation(X) AND -hasRating(Y, X) ==> -hasRating(X, Y);1.0
-RetireeDestination(X) AND -hasPart(X, Y) ==> -hasAccommodation(X, Y);1.0
-RetireeDestination(X) AND -hasAccommodation(X, Y) ==> -hasPart(X, Y);1.0
-hasAccommodation(X, Y) AND -hasAccommodation(Y, X) ==> -Hotel(X);1.0
